"name","longitude","latitude","power_gw","epoch","instrument","source_id","source","power_is_estimated","basis_column"
"Shango Patera","-98.6","33.8","83.66010462","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM069","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Itzamna Patera","-99.1","-16.2","40.324551048","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM070","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Arusha Patera","-101.3","-39.1","65.94732243","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM071","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Catha Patera","-101.4","-53.8","27.354518316","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM072","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"PV2","-101.5","-25.1","1.333988406","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM266","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Monan Patera","-104.7","19.6","61.324004826","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM073","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Ah Peku Patera","-106.9","10.4","32.904824508","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM074","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P197","-108.7","-47.4","11.670283566","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM075","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P216","-108.8","-9.2","7.738575534","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM076","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Amirani A","-114.8","21.8","276.629148","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM077","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Amirani B (P235?)","-115.2","30.5","5.280819138","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM078","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Amirani C (P61?)","-117.3","18.4","38.434387104","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM257","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Tvashtar B (P155)","-118","59.3","3.750364674","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM079","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Dusura Patera","-118.9","37.2","58.388552424","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM080","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
