source_id,name,longitude,latitude,observation_time,wavelength_um,spectral_radiance,spectral_radiance_unit,source
105_c9i008tr_S10_S11_L88_n_converted_spectra_Acala_Fluctus_region_5_v01,Acala Fluctus region 5 GP5,-24.0,11.0000000028,1997-06-27T01:04:14.00Z,0.8123,271.009,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/105_c9i008tr_S10_S11_L88_n_converted_spectra_Acala_Fluctus_region_5_v01.csv
106_c9i007tr_S11_S12_L6_n_converted_spectra_Hi-iaka_Patera-Tawhaki_P._v01,Hi-iaka Patera-Tawhaki P. GP24,75.09999999619998,3.09999999976,1997-06-27T21:36:51.00Z,0.9644,101.082,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/106_c9i007tr_S11_S12_L6_n_converted_spectra_Hi-iaka_Patera-Tawhaki_P._v01.csv
107_c9i007tr_S13_S14_L4_n_converted_spectra_Zal_-_Gish_Bar_P._region_v01,Zal - Gish Bar P.region GP12,74.8999999971,40.5000000023,1997-06-27T21:36:51.00Z,0.9644,403.082,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/107_c9i007tr_S13_S14_L4_n_converted_spectra_Zal_-_Gish_Bar_P._region_v01.csv
108_c9i007tr_S9_S10_L10_n_converted_spectra_Kanehekili_F._and-or_Janus_Patera_v01,Kanehekili F. and-or Janus Patera GP22,42.5,-3.00000000055,1997-06-27T21:36:51.00Z,0.9905,1435.27,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/108_c9i007tr_S9_S10_L10_n_converted_spectra_Kanehekili_F._and-or_Janus_Patera_v01.csv
109_c9i002tr_S8_S9_L29_n_converted_spectra_Tupan_Patera_v01,Tupan Patera GP14,140.999999999,-18.9999999967,1997-06-28T06:58:01.00Z,1.3159,21.2804,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/109_c9i002tr_S8_S9_L29_n_converted_spectra_Tupan_Patera_v01.csv
110_c9i001tr_S14_S15_L22_n_converted_spectra_Zal_Patera_region_v01,Zal Patera region GP14,74.8999999971,40.5000000023,1997-06-27T22:31:27.00Z,0.7081,216.53,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/110_c9i001tr_S14_S15_L22_n_converted_spectra_Zal_Patera_region_v01.csv
111_c9i001tr_S11_S12_L23_n_converted_spectra_Hi-iaka_Patera_and-or_Tawhaki_Patera_v01,Hi-iaka Patera and-or Tawhaki Patera GP6,75.09999999619998,3.09999999976,1997-06-27T22:31:27.00Z,0.8731,236.507,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/111_c9i001tr_S11_S12_L23_n_converted_spectra_Hi-iaka_Patera_and-or_Tawhaki_Patera_v01.csv
112_c9i001tr_S9_S10_L19_n_converted_spectra_Sigurd_Patera_v01,Sigurd Patera GP22,97.40000000060002,-5.9000000003,1997-06-27T22:31:27.00Z,0.9514,221.02,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/112_c9i001tr_S9_S10_L19_n_converted_spectra_Sigurd_Patera_v01.csv
113_c9i001tr_S13_S12_L22_n_converted_spectra_Gish_Bar_Patera_v01,Gish Bar Patera GP24,89.09999999950003,15.599999999,1997-06-27T22:31:27.00Z,0.8513,106.742,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/113_c9i001tr_S13_S12_L22_n_converted_spectra_Gish_Bar_Patera_v01.csv
114_c9i005tr_S7_S8_L17_n_converted_spectra_Malik_Patera_v01,Malik Patera GP24,128.999999999,-33.9999999998,1997-06-28T02:32:06.00Z,0.9057,184.074,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/114_c9i005tr_S7_S8_L17_n_converted_spectra_Malik_Patera_v01.csv
115_c9i006tr_S13_S14_L5_n_converted_spectra_Amirani_v01,Amirani GP24,116.300000001,23.1999999989,1997-06-28T02:45:15.00Z,0.8797,95.5011,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/115_c9i006tr_S13_S14_L5_n_converted_spectra_Amirani_v01.csv
116_c9i006tr_S7_S8_L2_n_converted_spectra_Malik_Patera_v01,Malik Patera GP17,128.999999999,-33.9999999998,1997-06-28T02:45:15.00Z,0.984,122.237,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/116_c9i006tr_S7_S8_L2_n_converted_spectra_Malik_Patera_v01.csv
117_c9i006tr_S7_S8_L6_n_converted_spectra_Altjirra_Patera_v01,Altjirra Patera GP20,108.0,-34.9999999995,1997-06-28T02:45:15.00Z,0.9905,884.969,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/117_c9i006tr_S7_S8_L6_n_converted_spectra_Altjirra_Patera_v01.csv
118_c9i006tr_S9_S10_L9_n_converted_spectra_Sigurd_Patera_v01,Sigurd Patera GP20,97.40000000060002,-5.9000000003,1997-06-28T02:45:15.00Z,0.9514,337.269,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/118_c9i006tr_S9_S10_L9_n_converted_spectra_Sigurd_Patera_v01.csv
